year;month;rainfall
1977;Mar;64.2
1977;Apr;17.2
1977;May;1.5
1977;Aug;28.1
1977;Sep;40.8
1977;Oct;59.8
1977;Nov;95.7
1977;Dec;195.2
1978;Jan;155
1978;Feb;120.4
1978;Mar;122.3
1978;Apr;50.4
1978;May;7.4
1978;Jun;0.5
1978;Jul;3.7
1978;Aug;3
1978;Sep;10.8
1978;Oct;43.9
1978;Nov;127.7
1978;Dec;86.9
1979;Jan;119.2
1979;Feb;26.1
1979;Mar;61.8
1979;Apr;69.1
1979;May;15.2
1979;Jun;0.7
1979;Jul;11.4
1979;Aug;20.6
1979;Sep;16.8
1979;Oct;53.1
1979;Nov;122.1
1979;Dec;107.4
1980;Jan;143.7
1980;Feb;188.8
1980;Mar;29
1980;Apr;50.4
1980;May;2
1980;Aug;9.8
1980;Sep;51.2
1980;Oct;107.1
1980;Nov;259.4
1980;Dec;120.2
1981;Jan;206.1
1981;Feb;150.6
1981;Mar;68.7
1981;Apr;9.5
1981;May;6.3
1981;Jun;8.5
1981;Aug;5.4
1981;Sep;49.9
1981;Oct;76.6
1981;Nov;134.6
1981;Dec;129.7
1982;Jan;194.7
1982;Feb;37.3
1982;Mar;25.8
1982;Apr;42.2
1982;May;8
1982;Jul;56.2
1982;Aug;1.4
1982;Sep;5.4
1982;Oct;20.5
1982;Nov;80.8
1982;Dec;35.2
1983;Jan;41.8
1983;Feb;33.9
1983;Mar;153.8
1983;Apr;17
1983;May;17.8
1983;Jun;0.6
1983;Aug;17
1983;Sep;2.1
1983;Oct;43.4
1983;Nov;129.6
1983;Dec;125.9
1984;Jan;245.2
1984;Feb;24.9
1984;Mar;86.2
1984;Apr;54.5
1984;Jun;14
1984;Jul;95.4
1984;Aug;5.2
1984;Sep;56.6
1984;Oct;108
1984;Nov;155.1
1984;Dec;105.5
1985;Jan;83.7
1985;Feb;347.2
1985;Mar;70
1985;Apr;12.4
1985;May;28
1985;Jun;7.5
1985;Aug;0.3
1985;Sep;9.5
1985;Oct;111.5
